Departamento|Provincia|Distrito|Nombre|Telefono|x_gis|y_gis
SAN_MARTIN|BELLAVISTA|ALTO_BIAVO|BARRANCA|949991433|-76.46797761|-7.27343901
SAN_MARTIN|BELLAVISTA|HUALLAGA|LEDOY|973438906|-76.64908|-7.13140333
SAN_MARTIN|RIOJA|PARDO_MIGUEL|NARANJOS|932913191|-77.5042021|-5.73767071
SAN_MARTIN|RIOJA|PARDO_MIGUEL|AGUAS_VERDES|932913191|-77.63401654|-5.68653604
SAN_MARTIN|RIOJA|PARDO_MIGUEL|PIONEROS_BAJO_(SAN_JUAN_DEL_MAYO)|932898075|-77.51162604|-5.70362033
SAN_MARTIN|RIOJA|PARDO_MIGUEL|PERLA_DEL_MAYO|996307642|-77.62856671|-5.6391539
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|LLUYLLUCUCHA|042-562326|-76.98275366|-6.02725543
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|BUENOS_AIRES|945371672|-77.079845|-5.91518
SAN_MARTIN|RIOJA|PARDO_MIGUEL|TUMBARO|#932913191|-77.43609025|-5.77619147
SAN_MARTIN|MARISCAL_CACERES|PACHIZA|PACHIZA|978365054|-76.77160958|-7.29475615
SAN_MARTIN|RIOJA|NUEVA_CAJAMARCA|NARANJILLO|964812486|-77.39693741|-5.80404488
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|SUGLLAQUIRO|978288930|-76.91412962|-5.95419654
SAN_MARTIN|SAN_MARTIN|PAPAPLAYA|HOSPITAL_RURAL_DE_PAPAPLAYA|941314932|-75.78322836|-6.21182554
SAN_MARTIN|LAMAS|TABALOSOS|TABALOSOS|954882097|-76.63525183|-6.38748361
SAN_MARTIN|LAMAS|CAYNARACHI|YUMBATOS|943846708|-76.29689704|-6.32026713
SAN_MARTIN|LAMAS|PINTO_RECODO|CHURUZAPA_PINTO_RECODO|973415701|-76.63008167|-6.34979
SAN_MARTIN|EL_DORADO|AGUA_BLANCA|AGUA_BLANCA|987340473|-76.6920135|-6.72580816
SAN_MARTIN|LAMAS|CUÑUMBUQUI|SAN_FRANCISCO_DEL_RIO_MAYO|965992406|-76.4228039|-6.57862429
SAN_MARTIN|BELLAVISTA|BAJO_BIAVO|ALMIRANTE_GRAU_BOMBONAJILLO|943673230|-76.28594062|-7.12182761
SAN_MARTIN|SAN_MARTIN|PAPAPLAYA|ASUNCION|983995096|-75.72431223|-6.29263578
SAN_MARTIN|LAMAS|TABALOSOS|PUCAYACU_PANJUI|990982087|-76.58655|-6.48402167
SAN_MARTIN|LAMAS|TABALOSOS|SAN_MIGUEL_DEL_RIO_MAYO|939135217|-76.58679333|-6.43587333
SAN_MARTIN|TOCACHE|POLVORA|CEDRO|942802040|-76.59305484|-8.06037222
SAN_MARTIN|RIOJA|AWAJUN|SAN_FRANCISCO_ALTO_MAYO|942456915|-77.31658831|-5.77744686
SAN_MARTIN|RIOJA|NUEVA_CAJAMARCA|MIRAFLORES|979143934|-77.36625268|-5.90983432
SAN_MARTIN|RIOJA|RIOJA|PORVENIR|042-558442|-77.25313723|-6.01052401
SAN_MARTIN|HUALLAGA|SAPOSOA|ALTO_PACHIZA|042-547144|-76.92701003|-6.89174116
SAN_MARTIN|RIOJA|ELIAS_SOPLIN_VARGAS|LA_VICTORIA|975207416|-77.26672708|-6.03312433
SAN_MARTIN|RIOJA|AWAJUN|NUEVA_SANTA_CRUZ|#975126504|-77.42365255|-5.86425766
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|TAHUISHCO|943103963|-76.9667939|-6.02317442
SAN_MARTIN|BELLAVISTA|BELLAVISTA|NUEVA_FLORIDA|948631390|-76.61016333|-6.95481333
SAN_MARTIN|HUALLAGA|SAPOSOA|AGUA_AZUL|975607512|-76.87488381|-6.94471925
SAN_MARTIN|LAMAS|ALONSO_DE_ALVARADO|PORVENIR_DEL_NORTE|042-562160|-76.76440768|-6.41061772
SAN_MARTIN|BELLAVISTA|HUALLAGA|AUCARARCA|944978091|-76.56546546|-7.41128667
SAN_MARTIN|MARISCAL_CACERES|PACHIZA|NUEVO_CHIMBOTE|945467435|-77.06042988|-7.10936296
SAN_MARTIN|MARISCAL_CACERES|PAJARILLO|DOS_UNIDOS|942143584|-76.69332427|-7.25142203
SAN_MARTIN|BELLAVISTA|ALTO_BIAVO|INCAICO|943274336|-76.41480212|-7.38222265
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|LA_FLOR_DE_LA_PRIMAVERA|945409842|-76.8717844|-5.95680362
SAN_MARTIN|RIOJA|AWAJUN|NUEVA_SANTA_CRUZ|#975126504|-77.42365255|-5.86425766
SAN_MARTIN|MOYOBAMBA|SORITOR|JERICOB|947591205|-77.03918745|-6.15007958
